county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
King,Seatac,WA,2023,VOLVO,XC60,PHEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Spokane,Spokane Valley,WA,2022,CHRYSLER,PACIFICA,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Clark,Brush Prairie,WA,2021,FORD,MUSTANG MACH-E,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Pierce,Edgewood,WA,2018,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Puyallup,WA,2018,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Bainbridge Island,WA,2020,HYUNDAI,IONIQ,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Grant,Ephrata,WA,2024,JEEP,WRANGLER,PHEV,Not Eligible,PUD NO 2 OF GRANT COUNTY
King,Maple Valley,WA,2022,MINI,HARDTOP,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Vashon,WA,2020,LINCOLN,AVIATOR,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kittitas,Ellensburg,WA,2018,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC
Spokane,Spokane,WA,2019,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY
Pierce,Tacoma,WA,2023,KIA,NIRO,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Whatcom,Bellingham,WA,2020,AUDI,E-TRON SPORTBACK,BEV,Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
Snohomish,Lynnwood,WA,2024,JEEP,GRAND CHEROKEE,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Arlington,WA,2011,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Pierce,Lakewood,WA,2023,KIA,NIRO,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY
Spokane,Spokane,WA,2018,BMW,530E,PHEV,Not Eligible,MODERN ELECTRIC WATER COMPANY
Pierce,Dupont,WA,2023,VOLKSWAGEN,ID.4,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Mason,Shelton,WA,2023,NISSAN,ARIYA,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY
Skagit,Bow,WA,2016,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Auburn,WA,2018,KIA,NIRO,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
San Juan,Eastsound,WA,2019,VOLKSWAGEN,E-GOLF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
Pierce,Spanaway,WA,2020,KIA,NIRO,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Marysville,WA,2024,HYUNDAI,IONIQ 5,BEV,Unknown,PUGET SOUND ENERGY INC
King,Black Diamond,WA,2021,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Renton,WA,2023,BMW,I7,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Edmonds,WA,2022,HYUNDAI,IONIQ 5,BEV,Unknown,PUGET SOUND ENERGY INC
Pierce,Lakewood,WA,2022,TOYOTA,RAV4 PRIME,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY
Grays Harbor,Elma,WA,2023,NISSAN,ARIYA,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY
Clallam,Neah Bay,WA,2021,FORD,MUSTANG MACH-E,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
